# Train        Test        
    0.321294     0.214440 
    0.209863     0.222769 
    0.213582     0.213861 
    0.201726     0.198568 
    0.205820     0.243410 
    0.209385     0.234298 
    0.199402     0.205674 
    0.199676     0.211926 
    0.195394     0.246628 
    0.199021     0.203980 
    0.199727     0.251202 
    0.207211     0.217048 
    0.200073     0.237471 
    0.196064     0.224075 
    0.202402     0.164931 
    0.195233     0.209504 
    0.220194     0.224012 
    0.183957     0.234846 
    0.208403     0.198859 
    0.200140     0.217993 
    0.206074     0.198888 
    0.213524     0.214590 
    0.195213     0.217295 
    0.179508     0.203785 
    0.194941     0.187266 
    0.191679     0.232376 
    0.212484     0.232781 
    0.213431     0.208205 
    0.201233     0.231178 
    0.192378     0.236246 
    0.220165     0.207779 
    0.187889     0.242908 
    0.195145     0.210688 
    0.201923     0.242612 
    0.195362     0.188882 
    0.191424     0.219006 
    0.204693     0.230309 
    0.194708     0.173478 
    0.198082     0.216623 
    0.199888     0.233433 
    0.210795     0.224989 
    0.198343     0.222009 
    0.186415     0.199479 
    0.215845     0.225376 
    0.200018     0.224364 
    0.194819     0.236802 
    0.199429     0.193572 
    0.187651     0.231478 
    0.188254     0.220377 
    0.208407     0.238965 
    0.219461     0.181023 
    0.214590     0.204103 
